Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 583464  Y 347244
X 580314  Y 347244
X 589763  Y 347244
X 586614  Y 347244
X 583464  Y 344094
X 580314  Y 344094
X 586614  Y 344094
X 589763  Y 344094
X 589763  Y 340944
X 586614  Y 340944
X 580314  Y 340944
X 583464  Y 340944
X 583464  Y 337795
X 586614  Y 337795
X 589763  Y 337795
X 580314  Y 337795
X 580314  Y 331496
X 586614  Y 331496
X 583464  Y 331496
X 580314  Y 328346
X 583464  Y 328346
X 586614  Y 328346
X 580314  Y 325196
X 586614  Y 325196
X 583464  Y 325196
X 580314  Y 322047
X 586614  Y 322047
X 583464  Y 322047
X 589763  Y 318897
X 580314  Y 318897
X 583464  Y 318897
X 586614  Y 318897
X 580314  Y 203937
X 583464  Y 203937
X 586614  Y 203937
X 586614  Y 200787
X 589763  Y 200787
X 583464  Y 200787
X 580314  Y 200787
X 589763  Y 197637
X 580314  Y 197637
X 586614  Y 197637
X 583464  Y 197637
X 583464  Y 194488
X 586614  Y 194488
X 589763  Y 194488
X 580314  Y 194488
X 589763  Y 191338
X 580314  Y 191338
X 586614  Y 191338
X 583464  Y 191338
X 589763  Y 188188
X 583464  Y 188188
X 586614  Y 188188
X 580314  Y 188188
X 583464  Y 181889
X 580314  Y 181889
X 586614  Y 181889
X 586614  Y 178740
X 580314  Y 178740
X 583464  Y 178740
X 583464  Y 175590
X 580314  Y 175590
X 586614  Y 175590
X 586614  Y 172440
X 583464  Y 172440
X 580314  Y 172440
X 586614  Y 169291
X 583464  Y 169291
X 580314  Y 169291
X 589763  Y 169291
X 596850  Y 126771
X 586614  Y 126771
X 668503  Y 91338
X 665354  Y 91338
X 671653  Y 91338
X 674803  Y 91338
X 677952  Y 91338
X 662204  Y 94488
X 668503  Y 94488
X 665354  Y 94488
X 671653  Y 94488
X 674803  Y 94488
X 677952  Y 94488
X 677952  Y 97637
X 668503  Y 97637
X 662204  Y 97637
X 665354  Y 97637
X 671653  Y 97637
X 674803  Y 97637
X 677952  Y 100787
X 668503  Y 100787
X 665354  Y 100787
X 662204  Y 100787
X 674803  Y 100787
X 671653  Y 100787
X 677952  Y 103937
X 665354  Y 103937
X 668503  Y 103937
X 662204  Y 103937
X 674803  Y 103937
X 671653  Y 103937
X 668503  Y 107086
X 662204  Y 107086
X 677952  Y 107086
X 671653  Y 107086
X 674803  Y 107086
X 665354  Y 107086
X 674803  Y 113385
X 668503  Y 113385
X 677952  Y 113385
X 665354  Y 113385
X 671653  Y 113385
X 665354  Y 116535
X 677952  Y 116535
X 671653  Y 116535
X 668503  Y 116535
X 674803  Y 116535
X 671653  Y 119685
X 674803  Y 119685
X 668503  Y 119685
X 665354  Y 119685
X 677952  Y 119685
X 665354  Y 122834
X 668503  Y 122834
X 674803  Y 122834
X 671653  Y 122834
X 677952  Y 122834
X 671653  Y 125984
X 674803  Y 125984
X 665354  Y 125984
X 662204  Y 125984
X 668503  Y 125984
X 677952  Y 125984
X 607086  Y 126771
X 668503  Y 240944
X 665354  Y 240944
X 674803  Y 240944
X 671653  Y 240944
X 677952  Y 240944
X 668503  Y 244094
X 665354  Y 244094
X 662204  Y 244094
X 674803  Y 244094
X 671653  Y 244094
X 677952  Y 244094
X 662204  Y 247244
X 674803  Y 247244
X 671653  Y 247244
X 668503  Y 247244
X 665354  Y 247244
X 677952  Y 247244
X 671653  Y 250393
X 674803  Y 250393
X 662204  Y 250393
X 665354  Y 250393
X 668503  Y 250393
X 677952  Y 250393
X 674803  Y 253543
X 671653  Y 253543
X 662204  Y 253543
X 668503  Y 253543
X 665354  Y 253543
X 677952  Y 253543
X 668503  Y 256692
X 662204  Y 256692
X 674803  Y 256692
X 671653  Y 256692
X 665354  Y 256692
X 677952  Y 256692
X 674803  Y 262992
X 668503  Y 262992
X 677952  Y 262992
X 665354  Y 262992
X 671653  Y 262992
X 674803  Y 266141
X 671653  Y 266141
X 677952  Y 266141
X 668503  Y 266141
X 665354  Y 266141
X 671653  Y 269291
X 665354  Y 269291
X 674803  Y 269291
X 677952  Y 269291
X 668503  Y 269291
X 665354  Y 272440
X 674803  Y 272440
X 668503  Y 272440
X 671653  Y 272440
X 677952  Y 272440
X 662204  Y 275590
X 674803  Y 275590
X 677952  Y 275590
X 668503  Y 275590
X 665354  Y 275590
X 671653  Y 275590
X 655511  Y 318110
X 675984  Y 318110
