Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
Drill: .07874  Tool: 10  Feed: 81  Speed: 550
X 6496  Y -31496
X 6496  Y 31496

Drill: .11024  Tool: 11  Feed: 69  Speed: 658
X 980314  Y -143503
X 980314  Y -5708
X 980314  Y 132086
X 1177165  Y 132086
X 1177165  Y -5708
X 1177165  Y -143503

Drill: .11811  Tool: 12  Feed: 69  Speed: 658
X 19685  Y -196850
X 226377  Y 122440
X 19685  Y 196850
X 629921  Y 0
X 1240157  Y -196850
X 1240157  Y 196850

End of Listing
